"Session","Date","Treatment","Protocol","Stage","DayNumber","Trial","ID","Latency","Reason","Scoring","Force"
176,"2024-04-11 15:03:00","CCD","AMN","POST",30,"I","DW 239",0.6,"Detection","Auto",15.07
177,"2024-04-11 15:03:00","CCD","AMN","POST",30,"I","DW 239",0.4,"Detection","Auto",10.58
178,"2024-04-11 15:04:00","CCD","AMN","POST",30,"I","DW 239",0.5,"Detection","Auto",12.82
179,"2024-04-11 15:05:00","CCD","AMN","POST",30,"I","DW 239",0.9,"Detection","Auto",21.05
180,"2024-04-11 15:06:00","CCD","AMN","POST",30,"I","DW 239",1,"Detection","Auto",24.05
181,"2024-04-12 15:25:00","CCD","AMN","POST",14,"C","DW 240",2.1,"Detection","Auto",45
182,"2024-04-12 15:25:00","CCD","AMN","POST",14,"C","DW 240",1.8,"Detection","Auto",42.01
183,"2024-04-12 15:26:00","CCD","AMN","POST",14,"I","DW 240",4.2,"Detection","Auto",45
184,"2024-04-12 15:26:00","CCD","AMN","POST",14,"I","DW 240",0.7,"Detection","Auto",16.56
185,"2024-04-12 15:26:00","CCD","AMN","POST",14,"I","DW 240",1,"Detection","Auto",22.55
186,"2024-04-12 15:26:00","CCD","AMN","POST",14,"I","DW 240",1.7,"Detection","Auto",39.01
187,"2024-04-12 15:27:00","CCD","AMN","POST",14,"I","DW 240",1.3,"Detection","Auto",30.03
188,"2024-04-12 15:27:00","CCD","AMN","POST",14,"I","DW 240",2.8,"Detection","Auto",45
189,"2024-04-12 15:28:00","CCD","AMN","POST",14,"C","DW 240",0.6,"Detection","Auto",14.32
190,"2024-04-12 15:28:00","CCD","AMN","POST",14,"C","DW 240",2.2,"Detection","Auto",45
191,"2024-04-12 15:28:00","CCD","AMN","POST",14,"C","DW 240",1.6,"Detection","Auto",36.77
192,"2024-04-12 15:29:00","CCD","AMN","POST",14,"I","DW 240",0.6,"Detection","Auto",13.57
193,"2024-04-12 15:29:00","CCD","AMN","POST",14,"I","DW 240",0.5,"Detection","Auto",12.07
194,"2024-04-12 15:29:00","CCD","AMN","POST",14,"I","DW 240",0.5,"Detection","Auto",12.07
195,"2024-04-12 15:29:00","CCD","AMN","POST",14,"I","DW 240",0.5,"Detection","Auto",12.07
196,"2024-04-12 15:29:00","CCD","AMN","POST",14,"I","DW 240",0.9,"Detection","Auto",21.8
197,"2024-04-12 15:29:00","CCD","AMN","POST",14,"I","DW 240",0.5,"Detection","Auto",13.57
198,"2024-04-12 15:29:00","CCD","AMN","POST",14,"I","DW 240",0.6,"Detection","Auto",14.32
199,"2024-04-12 15:29:00","CCD","AMN","POST",14,"I","DW 240",0.3,"Detection","Auto",7.58
200,"2024-04-12 15:30:00","CCD","AMN","POST",14,"C","DW 240",1.7,"Detection","Auto",40.51
201,"2024-04-12 15:30:00","CCD","AMN","POST",14,"C","DW 240",1.3,"Detection","Auto",28.54
202,"2024-04-12 15:30:00","CCD","AMN","POST",14,"C","DW 240",0.9,"Detection","Auto",21.05
203,"2024-04-12 15:30:00","CCD","AMN","POST",14,"C","DW 240",1,"Detection","Auto",23.3
204,"2024-04-12 15:44:00","CCD","AMN","POST",7,"C","DW 241",1.4,"Detection","Auto",31.53
205,"2024-04-12 15:44:00","CCD","AMN","POST",7,"C","DW 241",4.6,"Detection","Auto",45
206,"2024-04-12 15:45:00","CCD","AMN","POST",7,"C","DW 241",3.2,"Detection","Auto",45
207,"2024-04-12 15:45:00","CCD","AMN","POST",7,"C","DW 241",1.7,"Detection","Auto",37.52
208,"2024-04-12 15:45:00","CCD","AMN","POST",7,"C","DW 241",2.3,"Detection","Auto",45
209,"2024-04-12 15:46:00","CCD","AMN","POST",7,"C","DW 241",4.7,"Detection","Auto",45
210,"2024-04-12 15:46:00","CCD","AMN","POST",7,"I","DW 241",0.4,"Detection","Auto",9.83
211,"2024-04-12 15:46:00","CCD","AMN","POST",7,"I","DW 241",0.5,"Detection","Auto",12.82
212,"2024-04-12 15:46:00","CCD","AMN","POST",7,"I","DW 241",3.3,"Detection","Auto",45
213,"2024-04-12 15:47:00","CCD","AMN","POST",7,"I","DW 241",1.4,"Detection","Auto",32.28
214,"2024-04-12 15:47:00","CCD","AMN","POST",7,"I","DW 241",0.3,"Detection","Auto",7.58
215,"2024-04-12 15:47:00","CCD","AMN","POST",7,"I","DW 241",1.6,"Detection","Auto",36.02
216,"2024-04-12 15:48:00","CCD","AMN","POST",7,"I","DW 241",1.8,"Detection","Auto",42.01
217,"2024-04-12 15:48:00","CCD","AMN","POST",7,"I","DW 241",2.3,"Detection","Auto",45
218,"2024-04-12 15:49:00","CCD","AMN","POST",7,"I","DW 241",1.6,"Detection","Auto",36.77
219,"2024-04-12 15:49:00","CCD","AMN","POST",7,"I","DW 241",2.1,"Detection","Auto",45
220,"2024-04-12 15:49:00","CCD","AMN","POST",7,"I","DW 241",3,"Detection","Auto",45
221,"2024-04-12 15:49:00","CCD","AMN","POST",7,"I","DW 241",1,"Detection","Auto",24.05
222,"2024-04-12 15:49:00","CCD","AMN","POST",7,"I","DW 241",0.6,"Detection","Auto",15.07
223,"2024-04-12 15:50:00","CCD","AMN","POST",7,"I","DW 241",1,"Detection","Auto",23.3
224,"2024-04-12 15:50:00","CCD","AMN","POST",7,"I","DW 241",2.4,"Detection","Auto",45
225,"2024-04-12 15:50:00","CCD","AMN","POST",7,"I","DW 241",0.6,"Detection","Auto",14.32
226,"2024-04-15 15:03:00","CCD","AMN","POST",10,"C","DW 241",1.4,"Detection","Auto",32.28
227,"2024-04-15 15:03:00","CCD","AMN","POST",10,"C","DW 241",3.1,"Detection","Auto",45
228,"2024-04-15 15:03:00","CCD","AMN","POST",10,"C","DW 241",0.6,"Detection","Auto",15.07
229,"2024-04-15 15:03:00","CCD","AMN","POST",10,"C","DW 241",0.8,"Detection","Auto",18.81
230,"2024-04-15 15:03:00","CCD","AMN","POST",10,"C","DW 241",3.3,"Detection","Auto",45
231,"2024-04-15 15:03:00","CCD","AMN","POST",10,"C","DW 241",3.6,"Detection","Auto",45
232,"2024-04-15 15:03:00","CCD","AMN","POST",10,"C","DW 241",2,"Detection","Auto",45
233,"2024-04-15 15:03:00","CCD","AMN","POST",10,"C","DW 241",2,"Detection","Auto",45
234,"2024-04-15 15:04:00","CCD","AMN","POST",10,"C","DW 241",0.7,"Detection","Auto",17.31
235,"2024-04-15 15:04:00","CCD","AMN","POST",10,"C","DW 241",1.9,"Detection","Auto",42.76
236,"2024-04-15 15:04:00","CCD","AMN","POST",10,"I","DW 241",1.8,"Detection","Auto",40.51
237,"2024-04-15 15:05:00","CCD","AMN","POST",10,"I","DW 241",1.9,"Detection","Auto",42.01
238,"2024-04-15 15:05:00","CCD","AMN","POST",10,"I","DW 241",0.9,"Detection","Auto",21.05
