Session;Date;Treatment;Protocol;Stage;Trial;ID;Latency;Reason;Mode;Scoring;Force;TargetForce;RampDuration;CutoffTime;LegacyMode;TouchPause;TouchForce;TimeThreshold
3252;07/03/2025 14:10:22;CCD;AMN;POST;TEST;DW369;0.4;Manual Stop;Ramp;Auto;3.62;60.00;6;5;OFF;1.2;0.3;0.0
3253;07/03/2025 14:10:31;CCD;AMN;POST;TEST;DW369;5.8;Detection;Ramp;Auto;57.01;60.00;6;5;OFF;1.2;0.3;0.0
3254;07/03/2025 14:10:50;CCD;AMN;POST;TEST;DW369;4.1;Detection;Ramp;Auto;39.44;60.00;6;5;OFF;1.2;0.3;0.0
3255;07/03/2025 14:11:05;CCD;AMN;POST;TEST;DW369;5.0;Detection;Ramp;Auto;49.39;60.00;6;5;OFF;1.2;0.3;0.0
3256;07/03/2025 14:11:21;CCD;AMN;POST;TEST;DW369;3.1;Detection;Ramp;Auto;30.81;60.00;6;5;OFF;1.2;0.3;0.0
3257;07/03/2025 14:11:40;CCD;AMN;POST;TEST;DW369;3.6;Detection;Ramp;Auto;36.78;60.00;6;5;OFF;1.2;0.3;0.0
3258;07/03/2025 14:12:06;CCD;AMN;POST;TEST;DW369;4.5;Detection;Ramp;Auto;44.08;60.00;6;5;OFF;1.2;0.3;0.0
3259;07/03/2025 14:12:15;CCD;AMN;POST;TEST;DW369;3.3;Detection;Ramp;Auto;33.47;60.00;6;5;OFF;1.2;0.3;0.0
3260;07/03/2025 14:12:40;CCD;AMN;POST;TEST;DW369;2.4;Detection;Ramp;Auto;23.85;60.00;6;5;OFF;1.2;0.3;0.0
3261;07/03/2025 14:12:58;CCD;AMN;POST;TEST;DW369;0.0;Manual Stop;Ramp;Auto;0.30;60.00;6;5;OFF;1.2;0.3;0.0
3262;07/03/2025 14:13:07;CCD;AMN;POST;TEST;DW369;4.2;Detection;Ramp;Auto;42.42;60.00;6;5;OFF;1.2;0.3;0.0
3263;07/03/2025 14:13:39;CCD;AMN;POST;TEST;DW369;0.2;Manual Stop;Ramp;Auto;2.29;60.00;6;5;OFF;1.2;0.3;0.0
