Session,Date,Treatment,Protocol,Stage,Trial,ID,Latency,Reason,Mode,Scoring,Force,TargetForce,RampDuration,CutoffTime,LegacyMode,TouchPause,TouchForce,TimeThreshold,Inconsistent,Response,SurgeryDate,DayNumber
3242,2025-07-03 14:07:35,CCD,AMN,POST,TEST,DW369,10.4,Manual Stop,Ramp,Auto,60.0,60.0,6,5,OFF,1.2,0.3,0.0,True,0,2025-07-02 10:38:51,1
3243,2025-07-03 14:07:42,CCD,AMN,POST,TEST,DW369,3.4,Detection,Ramp,Auto,33.8,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3244,2025-07-03 14:07:55,CCD,AMN,POST,TEST,DW369,3.6,Detection,Ramp,Auto,36.12,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3245,2025-07-03 14:08:04,CCD,AMN,POST,TEST,DW369,4.8,Detection,Ramp,Auto,48.06,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3246,2025-07-03 14:08:17,CCD,AMN,POST,TEST,DW369,4.7,Detection,Ramp,Auto,46.73,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3247,2025-07-03 14:08:43,CCD,AMN,POST,TEST,DW369,0.2,Manual Stop,Ramp,Auto,2.29,60.0,6,5,OFF,1.2,0.3,0.0,True,0,2025-07-02 10:38:51,1
3248,2025-07-03 14:08:51,CCD,AMN,POST,TEST,DW369,3.4,Detection,Ramp,Auto,34.13,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3249,2025-07-03 14:09:00,CCD,AMN,POST,TEST,DW369,0.1,Manual Stop,Ramp,Auto,1.29,60.0,6,5,OFF,1.2,0.3,0.0,True,0,2025-07-02 10:38:51,1
3250,2025-07-03 14:09:03,CCD,AMN,POST,TEST,DW369,0.8,Detection,Ramp,Auto,9.26,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3251,2025-07-03 14:09:14,CCD,AMN,POST,TEST,DW369,4.6,Detection,Ramp,Auto,46.07,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3252,2025-07-03 14:10:22,CCD,AMN,POST,TEST,DW369,0.4,Manual Stop,Ramp,Auto,3.62,60.0,6,5,OFF,1.2,0.3,0.0,True,0,2025-07-02 10:38:51,1
3253,2025-07-03 14:10:31,CCD,AMN,POST,TEST,DW369,5.8,Detection,Ramp,Auto,57.01,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3254,2025-07-03 14:10:50,CCD,AMN,POST,TEST,DW369,4.1,Detection,Ramp,Auto,39.44,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3255,2025-07-03 14:11:05,CCD,AMN,POST,TEST,DW369,5.0,Detection,Ramp,Auto,49.39,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3256,2025-07-03 14:11:21,CCD,AMN,POST,TEST,DW369,3.1,Detection,Ramp,Auto,30.81,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3257,2025-07-03 14:11:40,CCD,AMN,POST,TEST,DW369,3.6,Detection,Ramp,Auto,36.78,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3258,2025-07-03 14:12:06,CCD,AMN,POST,TEST,DW369,4.5,Detection,Ramp,Auto,44.08,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3259,2025-07-03 14:12:15,CCD,AMN,POST,TEST,DW369,3.3,Detection,Ramp,Auto,33.47,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3260,2025-07-03 14:12:40,CCD,AMN,POST,TEST,DW369,2.4,Detection,Ramp,Auto,23.85,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3261,2025-07-03 14:12:58,CCD,AMN,POST,TEST,DW369,0.0,Manual Stop,Ramp,Auto,0.3,60.0,6,5,OFF,1.2,0.3,0.0,False,0,2025-07-02 10:38:51,1
3262,2025-07-03 14:13:07,CCD,AMN,POST,TEST,DW369,4.2,Detection,Ramp,Auto,42.42,60.0,6,5,OFF,1.2,0.3,0.0,False,1,2025-07-02 10:38:51,1
3263,2025-07-03 14:13:39,CCD,AMN,POST,TEST,DW369,0.2,Manual Stop,Ramp,Auto,2.29,60.0,6,5,OFF,1.2,0.3,0.0,True,0,2025-07-02 10:38:51,1
